name,address1,address2,address3,city,pincode,tel1,tel2,mobile
Anand Medical And General Stores,"Shop #7, Dr. E. Moses Road,","Jijamata Nagar, Near Nehru Science Centre,",Worli,Mumbai,400018,24919798,24963001,9820550465
Anand Medical Store,"New #3, Geet Ganga,","Gokhale Road, Near Maheshkar Hospital,",Naupada,Mumbai,400602,25406024,,
Anant Medico,"Prince Apartments, Shop #7,","Gopal Lane, Opposite Shiv Plaza,",Ghatkopar West,Mumbai,400086,25098734,55679709,
Andheri Chemists,"Vishal Apartments,","M. Vasanji Road, Near Vishal Hall,",Andheri East,Mumbai,400069,26837503,,
Anil Medical and General Store,"#3,","Surya Nagar, CTS 4, Near Post Office,",Tagore Nagar,Mumbai,400083,25780038,,
Anil Medical And General Stores,"Bhiwandiwala Building,","Shop #A/9,",Worli,Mumbai,400018,24930405,,
Aniruddha Medical & General Store,"Dhanlakshmi Co-operative Housing Society,","Ghatkopar - Andheri Link Road,",Saki Naka,Mumbai,400072,25020764,,
Anjali Medical & General Stores,"Someshwar Premises, Shop #2,","Gamdevi Road, Sanghani Estate,",Ghatkopar West,Mumbai,400086,25003567,,
Ankit Medical And General Store,"Shop #7, ","Plot No. 23, Sector - 11, Navi,",Kopar Khairane,Mumbai,400709,27541881,27548687,
Ankit Medico,"Antop Hill,",Near Barkat Ali Road,,Mumbai,400037,69903434,24182245,
Ankit Pharmacy,"#2, Navjivan Society Building,","Shop #8, Lamington Road,",Mumbai Central,Mumbai,400008,56280691,23096202,
Ankur Medical & General Store,"#10,","God Colony, Annabhau Godbole Road, Kanjur (East),",Bhandup East,Mumbai,400042,25780977,,
Anmol Chemists,"#9, Memni Building, Shop #S/4, S/4-(M),","M.A. Road, Near Nagpada Junction,",Mumbai Central,Mumbai,400008,23000059,30972391,
Annu Medical & General Stores,"Shop #23-1/1,  ","Kannamwar Nagar 2, Near Mahatma Phule Hospital,",Tagore Nagar,Mumbai,400083,55287355,,9324669139
Antariksha Pharmaceutical Traders Private Limited,"Shop #118-B, Nathpai Nagar,","90 Feet Road, Garodiya Nagar, Near Pancholi Hospital,",Ghatkopar East,Mumbai,400077,39469910,55220515,
Antariksha Pharmaceutical Traders Pvt. Ltd.,"Meenakshi Co-operative Society,","Shop #15, Orlem,",Malad West,Mumbai,400064,28612686,,
Antop Hill Medical & General Stores,"Plot No.391, Sheikh Mistry Road, Wadala,","Beside Municipal School,",Antop Hill,Mumbai,400037,24139241,,9820950215
Anu Medicals,"#4,","Road No. 1, Opposite Natraj Theatre,",Chembur,Mumbai,400071,25280404,,
Anupam Ayurvedic Bhandar,"#4, Ganesh Bhuvan,","Daftary Road, Near Kasturi Park,",Malad East,Mumbai,400097,28839807,,
Apex Drug House,"Mahendra Mansion,","S. Gandhi Marg,",Kalbadevi,Mumbai,400002,22086900,22077266,
Apna Bazar Medical Store,"Mahim,",Near Central Bank,,Mumbai,400016,24453118,,
Apna Bazar Sahakari Medical Stores,"#12, Latif Building,","Dr Ambedkar Road, Naigaon,",Dadar East,Mumbai,400014,24135428,,
Apna Stores,"P.D. Sharma Chawl,","Old Nagardas Road,",Andheri East,Mumbai,400069,56991781,55835262,
Apollo Pharmacy,"New #18/20, Hari Govindas Building,","K. Dubash Marg, Near Fort Church,",Mumbai G.P.O.,Mumbai,400001,22851873,,
Apollo Pharmacy,"New #5, Loonat Building,","Dr. Ambedkar Road, Opposite Chitra Cinema,",Dadar East,Mumbai,400014,24136546,,
Apollo Pharmacy,"Geetanjali Chambers,","Swami Vivekanand Road,",Bandra West,Mumbai,400050,26400281,,
Apollo Pharmacy,"#952, Centre Point,","18th Road,",Chembur,Mumbai,400071,25260187,,
Apollo Pharmacy,"Shop #4,","Sai Dham, Sai Baba Nagar, Near Sri Ram Sweets,",Borivali West,Mumbai,400092,28633025,,
Apollo Pharmacy,"Shop #3, Paras Niketan,","Opposite Modern High School,",Chembur,Mumbai,400089,25292903,32458798,9892003054
Apollo Pharmacy,"Shop #2, Amarkunj C.H.S.,","Veer Savarkar Road, Near Chayatheye Bhumi,",Dadar East,Mumbai,400028,24468640,32458793,9802961870
Apollo Pharmacy,"#2, Sector 12 A,","Kopar Khairane, Beside Ekathaki,",Ghansoli,Mumbai,400709,32687691,,9819789958
Apollo Pharmacy,"Shop #15, Milind Bhavan, M.G. Road,","Beside Vaman Hari Peth Jewelry,",Goregaon,Mumbai,400062,28788592,32650025,9867235289
Apollo Pharmacy,"Yogiprasad C.H.S.,","Near Yogi Hotel,",Goregaon West,Mumbai,400091,28332210,,9870015733
Apollo Pharmacy,"Shop #22, Centrium Akurli Village,","Opposite Whispiring Palms,",Kandivali,Mumbai,400101,28847282,,9769439933
Apollo Pharmacy,"Shop #40,","Profit Centre, Mahavir Nagar,",Kandivali East,Mumbai,400067,28686104,32650029,9819284198
Apollo Pharmacy,"Gandhi House, L.J. Road,","Near Sitladevi Temple,",Mahim,Mumbai,400016,24223378,32458795,9819638420
Apollo Pharmacy,"#5, 6, Blossom Market, Silver Park,","Jahangid Circle, Mira Road, Opposite Ashish Complex,",Mira Road,Mumbai,401107,28128379,,9892429569
Apollo Pharmacy,"Nehru Road,",Mulund West,,Mumbai,400080,25902564,32650032,
Apollo Pharmacy,"#17, V.B. Gandhi Marg,","Near Moden House,",Mumbai G.P.O.,Mumbai,400023,22851783,32458794,9867321521
Apollo Pharmacy,"Shree Manooshi Shopping Complex,","Gansholi,",Navi Mumbai,Mumbai,400703,27544516,,
Apollo Pharmacy,"Shop #1, Jamuna Amrut,","S.V. Road, Near Karat Theatre,",Santa Cruz East,Mumbai,400058,26772583,,9819425073
Apollo Pharmacy,"Shop #25, Meera C.H.S.,","New Link Road, Oshiwara, Near Mera Towers,",Santa Cruz East,Mumbai,400058,26396909,32650024,9870593630
Apollo Pharmacy,"Monalisa Building, Hari Nivas Circle,","L.B.S. Marg, Opposite Vaman Hari Peth Jewelry,",Thane H.O.,Mumbai,400602,25335757,,9821205801
Apollo Pharmacy,"Damayanti Apartments, Uthalsar Naka,","Uthalsar Road, Near Dhan Dhuraga Appartments,",Thane H.O.,Mumbai,400601,25470202,,9730069874
Apollo Pharmacy,"Soham Plaza,","Manpada,",Thane H.O.,Mumbai,400601,25893330,,
Apollo Pharmacy,"#1, Vedhant Complex, Pokhran Road,,","Vartak Nagar, Behind Tiptop,",Thane West,Mumbai,400607,25881223,,9222036101
Apollo Pharmacy,"Arcadia, Hiranandani Estate,","Near Hiranandani Hospital,",Thane West,Mumbai,400607,25862722,,9833310206
Apollo Pharmacy,"Palm Beach Road,","Beside Moraj Society,",Turbhe,Mumbai,400705,32615594,,9967382491
Apollo Pharmacy,"Bandra Geetanjali C.H.S., S.V. Road,","Near Indusind Bank,",Vidya Vihar,Mumbai,400050,26400281,32458790,9819942026
Apollo Pharmacy,"#46, Hanuman Road,","Near Parle Deluxe School,",Vile Parle R.S.,Mumbai,400057,26103788,,
Apollo Pharmacy,"Shop #5, Sangeet C.H.S.,","S.V. Road, Opposite Balabharti School,",Kandivali East,Mumbai,400067,28082263,32650028,9324934535
AR Medical Store,"Summer Villa,","Near Summer Villa,",Santa Cruz East,Mumbai,400055,26183484,,
Aradhana Medical & General Stores,"1st Street, Guru Nagar,","Four Bungalows, Andheri (W),",Azad Nagar,Mumbai,400053,26379157,26379394,
Archana Medicals,"New #14, Shop #A/2,","A Wing, Near Vrundavan Society,",Naupada,Mumbai,400602,25335790,,
Ardhaman Medical & General Stores,"#11, Shankar Smruti,","S.I.T. M.G. Road, Mulund West, Opposite Dena Bank,",Mulund West,Mumbai,400080,25617271,32578409,
Arian Medicals,"Swashraya,",Vile Parle West,,Mumbai,400056,26281917,,
Arihant,"#355/11, Devji Sadan Telang Road,","Next to Leg's, Opposite to Co-Optex,",Matunga,Mumbai,400019,24158176,24173434,
Arihant Chemist & General Stores,"#3,","Gandhi Gram Road, Near Abhudhya Bank,",Kurla West,Mumbai,400070,25031810,,
Arihant Medical & General Stores,"Mithila,","J B Nagar Road,",J.B. Nagar,Mumbai,400059,28301041,,
Arihant Medical & General Stores,"Gorai Manas Chambers,","Gorai,",Borivali West,Mumbai,400092,28687123,,
Arihant Medical & General Stores,"#58/60,","Mint Road, Cross Lane, Fort,",Mumbai G.P.O.,Mumbai,400001,22617678,,
Arihant Medical and General Store,"Sevji Sadan, ","Telang Road, Opposite Vikas Palm,",Matunga,Mumbai,400019,24173434,,
Arihant Medical and General Store,"New #180/13, Saikunj,","Dr. B.A. Road, Near Indian Education School,",Dadar East,Mumbai,400014,24147212,,
Arihant Medical and General Stores,"New #3,","Gayathri Nagar, Near Ashirwad Hospital,",Bhayander East,Mumbai,401105,28045651,,
Arihant Medical and General Stores,"New #11/12, Ostwal Ornate Building,","Jesal Park, Opposite Ostwal Ornate,",Bhayander East,Mumbai,401105,28168244,28171464,
Arihant Medical Book House,"Om Sai Datta Niwas,","Sector 20,",Nerul,Mumbai,400706,27729396,,
Arihant Medical Store,"Bharat Baug, Lancelot, ","Shop #6, S.V. Road,",Borivali West,Mumbai,400092,56869120,,9833772099
Arihant Medical Stores,"Brahama Jyot B,","Ganesh Gawade Road,",Mulund West,Mumbai,400080,25602432,,
Arihant Medical Stores,"Sharma Chawl, Rajawadi,",Ghatkopar East,,Mumbai,400077,25112318,,
Arihant Medicals,"New #2, Kashmira,","Swastik Park, Near Mangal Anand Hospital,",Chembur,Mumbai,400071,25227108,,
Arjun,"#4, Suraj Apartment,","Shop #3, Ram Maruti Cross Road, Ghantali,",Mumbra,Mumbai,400612,25398288,,
Arogya Chemist,"Blue Hevan Building,","Malad Road,",Malad West,Mumbai,400064,28884848,,
Arvind Traders,"Naval Nagar, Nehru Road,","Near Bharat Restaurant,",Vile Parle East,Mumbai,400057,26143239,,
Arya Vaidya Pharmacy,"#34, Hind Rajasthan Shopping Centre,","Near Sion Hospital,",Sion,Mumbai,400022,24078187,,
Aryama Chemist,"#19,","Sector 17, Navi,",Vashi,Mumbai,400703,27652485,,
Ascot Chemist,"#211/219, Bharati Bhavan, Shop #1,","P.D. Mello Road, Opposite St. George's College & Hospital,",Mumbai G.P.O.,Mumbai,400001,30222915,,9322336427
Asha Medical & General Stores,"Shop #17, Kokan Nagar,","Near Anubhav Society,",Bhandup West,Mumbai,400078,32627204,,
Asha Medical and General Stores,"New #2, Gomes House,","Ceasar Road, Near Benzy Palace Hotel,",Andheri West,Mumbai,400058,26799931,,
Asha Medical Centre,"Asiatic Society,","Sector No. 4, Opposite Bhushan Hotel,",Ghansoli,Mumbai,400701,27602784,,
Ashapura Chemist,"Kakad Arcade, Shop #36,","Opposite Bombay Hospital,",Marine Lines,Mumbai,400020,22060167,,9821086425
Ashapura Medical and General Stores,"New #3, Nanddham Co-operative Housing Society,","Ground Floor, Opposite Sion Hospital,",Sion,Mumbai,400022,24026040,,
Ashapura Stores,"#48,","Raghunath Maharaj Street, Mandvi Koliwada,",Mandvi,Mumbai,400003,23430452,,9892606140
Ashirwad Medical & General Stores,"Aangan, Shop #12,","Samata Nagar, Thakur Village, Opposite Vasant Utsav,",Kandivali East,Mumbai,400101,28852275,28856023,
Ashirwad Medical And General Stores,"Shiv Smruti, Shop #8,","GIP Store Lane, V.M. Joshi Road, Curry Road,",Delisle Road,Mumbai,400013,23012569,,
Ashirwad Medical Stores,"Sheetal Appartment,","M C Chagla Road,",Sahar,Mumbai,400099,28380324,,
Ashish Medical & General Stores,"Hirnen Shopping Centre,","Shop #27, S.V. Road,",Goregaon West,Mumbai,400062,28726418,29630806,
Ashish Medical Store,"#54, Upasana,","Lady Jamshedji Road,",Mahim,Mumbai,400016,24301616,,
Ashish Medical Stores,"New #8, Mulraj Bhavan,","A. Donde Marg, Near Barakat Ali Baba Darga,",Sewri,Mumbai,400015,24136284,,
Ashita Medical and General Store,"New #21-33, ","Khetwadi Back Road, Near Alankar Cinema,",Khetwadi,Mumbai,400004,23881976,,
Ashok Chemist,"Pawan Palace,","Sitaladevi Temple Road, Near Sitladevi Temple,",Mahim,Mumbai,400016,24370221,,
Ashok Distributors,"Sreeji Industrial Estate,","Shop #7, Ground Floor, Subash Road, Opposite Shramik Sahakari Bank,",Jogeshwari,Mumbai,400060,32605980,32419166,
Ashok Medical Stores,"Krishna Kunj,","S.V. Road,",Malad West,Mumbai,400064,28891640,56864110,
Ashoka Medical & General Stores,"Nilesh Chwl,","Society Road,",Jogeshwari East,Mumbai,400060,28254630,,
Ashwin Medical & General Store,"Arunoday Appartment,","Bhayander Road,",Kandivali East,Mumbai,400101,28049079,,
Ashwin Medical and General Stores,"Triveni, Shop #2, 3,","S.V. Road,",Santa Cruz West,Mumbai,400054,26493129,69597630,
Ashwini Medical and General Stores,"New #1, Amar Palace Compound,","Near Indira Hospital,",Mira Road,Mumbai,401107,28456379,,
Ashwinkumar Medical,"Relief,","V Patel Road,",Kandivali West,Mumbai,400067,28634507,,
Ashwinkumar Medical,"Premal Jyot,","Ashok Nagar Cross Road,",Kandivali East,Mumbai,400101,28875814,,
Asian Chemist,"Rakhangi Mahal,","Near City Bakery,",Worli,Mumbai,400018,24918325,24933271,
Asian Chemist,"#241, Hill View,","Hill Road, Opposite Mehboob Studio,",Bandra West,Mumbai,400050,26550348,,
Asian Chemists,"#A/1, Sitladevi CHS, Shop #1,","New Link Road, D.N. Nagar, Andheri (W), Opp. Indian Oil Nagar,",Azad Nagar,Mumbai,400053,26247789,26252925,9867445807
Asian Medical and General Stores,"New #73, Shop #25,","Gate No. 6, Malwani Colony, Near Muncipal Hospital,",Kharodi,Mumbai,400095,28446819,,
Asiatic Homeopathic Pharmacy,"J.R. Boricha Marg,",Church Gate,,Mumbai,400020,65716209,,
Asso Medicals & Research Centre,"Gokuldham Highschool,","A K Vaidya Marg,",Goregaon East,Mumbai,400063,28402311,,
Aswin Medical and General Stores,"New #2/3, Triveni, S.V. Road,","Opposite Plaza Asiad,",Santa Cruz West,Mumbai,400054,26001547,26493129,
Atharva Enterprises,"Sai Sadan, Savitribai Chawl,","Shop #3, Khindi Pada,",Mulund Colony,Mumbai,400082,25372635,25438477,9892271397
Atul Drug House,"Bhaveshwar Terrace,","Annie Besant Road,",Worli,Mumbai,400018,24931492,24931493,
Atul Medical and General Stores,"Shree Nagar,","Near Mahaveer Medical Stores,",Wagle,Mumbai,400604,25824050,,
Avadh Medical and General Store,"Rashmi Rathi Chambers,","Charkop,",Kandivali West,Mumbai,400067,28676766,,
Avni Medical & General Stores,"#17, Shop #18-A,","Porbandarwala Chawl, Chirag Nagar, Opposite Pimpleshwar Mahadev Mandir,",Ghatkopar West,Mumbai,400086,65597727,,9869322191
Avni Pharma,"Botawala Building 1,",Prabhadevi,,Mumbai,400025,24304373,24383166,
Avon Medicals,"#4, Ashok Deep,","Shop #3, Station Road,",Chembur,Mumbai,400071,25285462,25286126,
Azad Medical Stores,"Pandurang Wadi,",Goregaon East,,Mumbai,400063,28775607,55210117,
Azizya Medical and General Stores,"New #86, Kabibai Trust Building,","Janjikar Street, Janjikar Street,",Mandvi,Mumbai,400003,23438275,,
B Braun Medical India,"Fiancial Centre,","Bandra Kurla Complex Road,",Bandra East,Mumbai,400051,26533715,,
B.A. & Brothers (Bombay) Private Limited,"#98,","Shamaldas Gandhi Marg, P.B. 2077,",Kalbadevi,Mumbai,400002,22012939,22019102,
Babubhai Chemist,"Jethabhai Building,","Bomanji Petit Road,",Mumbai Central,Mumbai,400008,23674876,,
Babul Chemist,"Jagruti Apartments,","B.P. Road, Near Bhyander Station,",Bhayander East,Mumbai,401105,28197981,,
Badri Medical and General Store,"New #439-D5, N.M. Joshi Marg,","Arthur Road, Near S Bridge,",Jacob Circle,Mumbai,400011,23076909,,
Bafna Medical and General Stores,"New #3, Fatima Palace,","Juhu Church Road, Near Juhu J.V.P.D.,",Juhu,Mumbai,400049,26237597,,
Bahadur Pharmacy,"Meherzin,","Near Police Chowki,",Colaba,Mumbai,400005,22181950,,
Balaji Medical & General Stores,"Shiv Niwas, Shop #4,","Rajawadi, M.G. Road,",Ghatkopar East,Mumbai,400077,67983018,,
Balaji Medical & General Stores,"Anandji Ladha Building,","Shop #7, Dr. B.A. Road, Lalbaug,",Parel,Mumbai,400012,24719187,,
Balaji Stores,"Central Avenue Road,","Near Ambedkar Garden,",Chembur,Mumbai,400071,25285374,,
Banaji's Homoeopathic Pharmacy,"#248, 1st Floor,","Princess Street, Next to Wadia's Fire Temple,",Kalbadevi,Mumbai,400002,22063067,22019458,
Bandra Chemists & Druggists,"Gopal Mansion,","Guru Nanak Road,",Bandra West,Mumbai,400050,26427225,,
Bandra Medical Stores,"Hill Road,",Bandra West,,Mumbai,400050,26423757,26427244,
Bandra Urban Medical And Gerneral Store,"Gandhi Nagar Road,",Bandra East,,Mumbai,400051,26512155,,
Bangunagar Medical Stores,"Bhanumati Chawl,",Bangur Nagar,,Mumbai,400090,28790820,,
Bansi Manohar Medical Stores,"Sanskar Building,","Hirachand Desai Marg,",Ghatkopar West,Mumbai,400086,25134324,,
Bapat Brothers,"#180/3,","J.S.S. Road, Girgaon, Gaiwadi,",Khetwadi,Mumbai,400004,23854468,,
Benhur Medical & General Store,"Fernandes Villa Building,","Shop #93, Ground Floor, Hill Road, Opposite Convent School,",Bandra West,Mumbai,400050,26435942,,9819656758
Benhur Medical and General Stores,"Fernandes Vila,","Hill Road, Near Gazebo Restaurant,",Bandra West,Mumbai,400050,26435942,,
Bhagwati Medical And General Stores,"#F-1, Shop #7,","Sector - 3, Navi, Opposite S.I.E.S. College,",Nerul,Mumbai,400706,27708444,,9892562337
Bhagwati Medical Supply,"Mahatma Gandhi Road,",Borivali East,,Mumbai,400066,28932433,,
Bhairab Chemist And General Stores,"Wamam Apartments,","Shop #9, Sion Trombay Road, Opposite Maitri Park,",Chembur,Mumbai,400071,25200885,,9820720030
Bhairav Chemist,"Sitaram Jadhav Marg,","Near Deepak Cinema,",Delisle Road,Mumbai,400013,24925866,,
Bhairav Medical & General Stores,"Shop #27, Shell Colony Road,","Near Dr. U.M. Talesara,",Chembur,Mumbai,400071,25231174,,
Bhairav Medical Stores,"#21,","Ferbunder Naka,",Parel Tank Road,Mumbai,400033,23718030,23218036,
Bhairav Medico & General Stores,"Gokul Residency, Shop #12,","Samta Nagar, Dattani Park, Opposite Oberoi Garden Tower,",Kandivali East,Mumbai,400101,28865814,56015708,
Bhalani Medical Book House,"#11, Mavawala Building,",Parel Opposite K.E.M. Hospital,Parel,Mumbai,400012,24137650,24140942,
Bhalani Medical Book House,"Mavawala Building,","Parel Road,",Parel,Mumbai,400012,24138041,,
Bhanupadma,"Madhukala CHS,","R.K. Vaidya Road, Dadar (W),",Bhavani Shankar Road,Mumbai,400028,24370588,,
Bharat Chemist,"Shalimar CHS Limited - B Wing,","Shop #9/2, Kopri Colony, Behind Anand Theatre,",Kopri Colony,Mumbai,400603,25324097,,
Bharat Medical,"Bharati Kala Road,",Sion,,Mumbai,400022,24053092,,
Bharat Medical & General Store,"Ashirwad,","P K Road,",Mulund West,Mumbai,400080,25609125,,
Bharat Medical & General Stores,"Joy Mahavir Road,",Andheri West,,Mumbai,400058,26744912,,
Bharat Medical & General Stores,"Mahavir Apartments,","Tembi Naka, Near Civil Hospital, ",Thane H.O.,Mumbai,400601,25479159,,
Bharat Medical & General Stores,"Station View Building Compound,","Near Canara Bank,",Chembur,Mumbai,400071,28282956,25282957,
Bharat Medical and General Stores,"New #6,","Kassamali, Ceasar Road, Near Sai Mandir,",Andheri West,Mumbai,400058,26770942,,
Bharat Medical and General Stores,"New #312,","J.S.S. Road, Near Thakurdwar,",Kalbadevi,Mumbai,400002,22052897,,
Bharat Medical and General Stores,"New #21, Keshavlal Building,","P. Ramabai Road, Near Bosco Boy's School,",Borivali West,Mumbai,400092,23879261,,
Bharat Medical and General Stores,"#43,","Shahid Bhagat Singh Road, 3rd Pasta Lane,",Colaba,Mumbai,400005,22872491,22875666,
Bharat Medical Stores,"Shop #141,","Meherally Road,",Mandvi,Mumbai,400003,23459685,,
Bharat Medical Stores,"#7, Bhalerao Bhuvan, Shop #18/29,","Veer Tanaji Malusare Marg, Fair Bhunder Naka,",Parel Tank Road,Mumbai,400033,23726548,,9820321043
Bharat Medical Stores,"#19, Ajanta Shopping Centre,","Station Road, Near Railway Crossing,",Kandivali West,Mumbai,400067,28089579,,
Bharat Medical& General Stores,"Arti,","S Radhakrishnan Marg,",Andheri East,Mumbai,400069,28214669,,
Bharat Medico,"#299A, Miranda Building,","J.K. Savant Marg, Dadar (West),",Bhavani Shankar Road,Mumbai,400028,24303337,,
Bharati Medical,"Chunabhatti Station Road,",Sion,,Mumbai,400022,24055151,,
Bharati Medical Centre,"Mulraj Building,","A Donde Marg,",Sewri,Mumbai,400015,24131795,,
Bharind Medical,"1st Road, B.M.C. Market, Khar (W),","Near Railway Station,",Khar,Mumbai,400052,26496862,,
Bharti Vidyapeet's College of Pharmacy,"Sector 8, CBD Belapur,","Near APMC Yard,",Vashi,Mumbai,400703,27571122,,
Bhatia Medical & General Stores,"Church View Apartment,","Behind Vakola Church,",Santa Cruz East,Mumbai,400055,26672402,,
Bhavesh Chemist,"#261/1-2,","Irani Wadi Road,",Kandivali West,Mumbai,400067,28648438,,9819646876
Bhavesh Chemist,"#261/1-2,","Irani Wadi Road,",Kandivali West,Mumbai,400067,28648438,,9819646876
Bhavesh Enterprise,"#6A, Elavia Building,","T.H. Kataria Marg, Matunga Road, Near Matunga Railway Station,",Mahim,Mumbai,400016,24363020,,
Bhavika Medical Store,"Shop #8, Apra Road,","Gowshala Road, Opposite Pooja Hospital,",Mulund West,Mumbai,400080,25679129,,
